time,CHN1,CHN2
 3.055000e-05, -9.249850e-04,  7.740375e-03
 3.060000e-05, -4.249850e-04,  7.427875e-03
 3.065000e-05, -1.299985e-03,  5.528750e-04
 3.070000e-05, -7.374850e-04,  1.177875e-03
 3.075000e-05, -1.612485e-03,  7.115375e-03
 3.080000e-05, -1.237485e-03,  7.115375e-03
 3.085000e-05, -1.862485e-03,  8.653750e-04
 3.090000e-05, -1.424985e-03, -7.212500e-05
 3.095000e-05, -2.112485e-03,  6.177875e-03
 3.100000e-05, -2.362485e-03,  5.552875e-03
 3.105000e-05, -1.862485e-03,  8.653750e-04
 3.110000e-05, -1.987485e-03,  5.552875e-03
 3.115000e-05, -2.674985e-03, -6.971250e-04
 3.120000e-05, -2.174985e-03,  6.177875e-03
 3.125000e-05, -3.112485e-03, -3.846250e-04
 3.130000e-05, -2.612485e-03, -1.322125e-03
 3.135000e-05, -3.112485e-03,  5.240375e-03
 3.140000e-05, -2.737485e-03,  4.927875e-03
 3.145000e-05, -3.487485e-03, -1.322125e-03
 3.150000e-05, -3.674985e-03,  6.490375e-03
 3.155000e-05, -2.924985e-03, -1.947125e-03
 3.160000e-05, -3.362485e-03,  4.302875e-03
 3.165000e-05, -3.799985e-03, -2.259625e-03
 3.170000e-05, -3.362485e-03,  5.552875e-03
 3.175000e-05, -4.112485e-03, -3.197125e-03
 3.180000e-05, -3.612485e-03,  5.240375e-03
 3.185000e-05, -4.174985e-03, -1.322125e-03
 3.190000e-05, -3.737485e-03, -1.947125e-03
 3.195000e-05, -4.487485e-03,  4.302875e-03
 3.200000e-05, -3.924985e-03,  4.302875e-03
 3.205000e-05, -4.424985e-03, -2.259625e-03
 3.210000e-05, -3.924985e-03,  3.052875e-03
 3.215000e-05, -4.424985e-03, -3.509625e-03
 3.220000e-05, -4.612485e-03,  3.990375e-03
 3.225000e-05, -3.987485e-03, -2.884625e-03
 3.230000e-05, -4.737485e-03,  3.990375e-03
 3.235000e-05, -4.174985e-03, -2.884625e-03
 3.240000e-05, -4.549985e-03, -3.197125e-03
 3.245000e-05, -4.112485e-03,  3.052875e-03
 3.250000e-05, -4.487485e-03,  3.365375e-03
 3.255000e-05, -4.174985e-03, -4.759625e-03
 3.260000e-05, -4.049985e-03,  2.115375e-03
 3.265000e-05, -4.549985e-03, -3.822125e-03
 3.270000e-05, -4.424985e-03,  2.427875e-03
 3.275000e-05, -3.924985e-03, -4.134625e-03
 3.280000e-05, -3.924985e-03,  3.052875e-03
 3.285000e-05, -4.424985e-03, -4.447125e-03
 3.290000e-05, -4.362485e-03,  2.115375e-03
 3.295000e-05, -3.737485e-03, -4.759625e-03
 3.300000e-05, -4.174985e-03, -4.447125e-03
 3.305000e-05, -3.612485e-03,  1.177875e-03
 3.310000e-05, -4.174985e-03,  2.427875e-03
 3.315000e-05, -3.487485e-03, -5.072125e-03
 3.320000e-05, -3.862485e-03, -6.009625e-03
 3.325000e-05, -3.299985e-03,  1.177875e-03
 3.330000e-05, -3.737485e-03,  8.653750e-04
 3.335000e-05, -3.112485e-03, -4.759625e-03
 3.340000e-05, -3.549985e-03,  1.802875e-03
 3.345000e-05, -2.987485e-03, -6.322125e-03
 3.350000e-05, -3.362485e-03, -5.384625e-03
 3.355000e-05, -2.674985e-03,  5.528750e-04
 3.360000e-05, -3.237485e-03,  8.653750e-04
 3.365000e-05, -2.487485e-03, -6.009625e-03
 3.370000e-05, -2.987485e-03, -5.697125e-03
 3.375000e-05, -2.174985e-03,  5.528750e-04
 3.380000e-05, -2.674985e-03,  5.528750e-04
 3.385000e-05, -1.924985e-03, -6.322125e-03
 3.390000e-05, -2.362485e-03,  8.653750e-04
 3.395000e-05, -1.737485e-03, -7.259625e-03
 3.400000e-05, -2.299985e-03,  8.653750e-04
 3.405000e-05, -1.362485e-03, -6.947125e-03
 3.410000e-05, -1.299985e-03, -3.846250e-04
 3.415000e-05, -1.737485e-03, -6.634625e-03
 3.420000e-05, -1.612485e-03, -5.697125e-03
 3.425000e-05, -9.249850e-04, -6.971250e-04
 3.430000e-05, -1.362485e-03, -3.846250e-04
 3.435000e-05, -5.499850e-04, -6.947125e-03
 3.440000e-05, -1.112485e-03, -7.259625e-03
 3.445000e-05, -1.749850e-04,  8.653750e-04
 3.450000e-05, -7.374850e-04, -7.212500e-05
 3.455000e-05, -4.998500e-05, -6.322125e-03
 3.460000e-05, -4.874850e-04, -7.212500e-05
 3.465000e-05,  7.501500e-05, -7.259625e-03
 3.470000e-05, -2.374850e-04, -7.572125e-03
 3.475000e-05,  5.750150e-04,  2.115375e-03
 3.480000e-05,  1.375150e-04,  5.528750e-04
 3.485000e-05,  8.250150e-04, -6.634625e-03
 3.490000e-05,  5.750150e-04, -1.322125e-03
 3.495000e-05,  1.137515e-03, -6.322125e-03
 3.500000e-05,  8.250150e-04, -6.634625e-03
 3.505000e-05,  1.387515e-03, -1.009625e-03
 3.510000e-05,  1.137515e-03,  2.403750e-04
 3.515000e-05,  1.700015e-03, -6.322125e-03
 3.520000e-05,  1.450015e-03, -6.009625e-03
 3.525000e-05,  2.075015e-03,  8.653750e-04
 3.530000e-05,  1.575015e-03,  8.653750e-04
 3.535000e-05,  2.387515e-03, -6.009625e-03
 3.540000e-05,  2.075015e-03,  1.802875e-03
 3.545000e-05,  2.700015e-03, -6.322125e-03
 3.550000e-05,  2.325015e-03, -7.212500e-05
 3.555000e-05,  3.200015e-03, -6.634625e-03
 3.560000e-05,  3.137515e-03, -5.697125e-03
 3.565000e-05,  2.512515e-03,  2.403750e-04
 3.570000e-05,  2.950015e-03,  1.177875e-03
 3.575000e-05,  3.450015e-03, -5.697125e-03
 3.580000e-05,  3.262515e-03,  1.177875e-03
 3.585000e-05,  3.825015e-03, -5.072125e-03
 3.590000e-05,  3.450015e-03,  5.528750e-04
 3.595000e-05,  4.012515e-03, -5.384625e-03
 3.600000e-05,  3.762515e-03,  8.653750e-04
 3.605000e-05,  4.387515e-03, -5.697125e-03
 3.610000e-05,  4.012515e-03, -6.009625e-03
 3.615000e-05,  4.762515e-03,  8.653750e-04
 3.620000e-05,  4.325015e-03, -5.697125e-03
 3.625000e-05,  5.012515e-03,  1.490375e-03
 3.630000e-05,  5.075015e-03, -5.072125e-03
 3.635000e-05,  4.575015e-03,  1.177875e-03
 3.640000e-05,  4.637515e-03, -5.072125e-03
 3.645000e-05,  5.450015e-03,  2.427875e-03
 3.650000e-05,  4.825015e-03, -5.072125e-03
 3.655000e-05,  5.700015e-03,  1.490375e-03
 3.660000e-05,  5.137515e-03,  2.115375e-03
 3.665000e-05,  5.825015e-03, -4.759625e-03
 3.670000e-05,  5.262515e-03, -5.072125e-03
 3.675000e-05,  6.012515e-03,  3.365375e-03
 3.680000e-05,  5.575015e-03, -2.884625e-03
 3.685000e-05,  6.075015e-03,  3.052875e-03
 3.690000e-05,  5.762515e-03, -3.822125e-03
 3.695000e-05,  6.325015e-03,  3.052875e-03
 3.700000e-05,  5.887515e-03, -3.822125e-03
 3.705000e-05,  6.387515e-03,  3.365375e-03
 3.710000e-05,  5.950015e-03,  3.677875e-03
 3.715000e-05,  6.512515e-03, -3.509625e-03
 3.720000e-05,  5.825015e-03,  3.677875e-03
 3.725000e-05,  6.637515e-03, -3.509625e-03
 3.730000e-05,  5.950015e-03,  3.052875e-03
 3.735000e-05,  6.637515e-03, -2.572125e-03
 3.740000e-05,  6.575015e-03, -2.259625e-03
 3.745000e-05,  6.075015e-03,  3.990375e-03
 3.750000e-05,  6.075015e-03, -1.009625e-03
 3.755000e-05,  6.512515e-03,  3.990375e-03
 3.760000e-05,  6.637515e-03, -1.634625e-03
 3.765000e-05,  6.012515e-03,  4.927875e-03
 3.770000e-05,  6.450015e-03, -2.259625e-03
 3.775000e-05,  6.012515e-03,  5.552875e-03
 3.780000e-05,  6.387515e-03, -1.009625e-03
 3.785000e-05,  5.887515e-03,  5.240375e-03
 3.790000e-05,  6.262515e-03, -1.322125e-03
 3.795000e-05,  5.700015e-03,  4.927875e-03
 3.800000e-05,  6.137515e-03, -3.846250e-04
 3.805000e-05,  5.575015e-03,  5.552875e-03
