X,Y
-1.612485e-03,  6.802875e-03
-2.362485e-03,  1.177875e-03
-1.862485e-03,  7.427875e-03
-2.674985e-03, -7.212500e-05
-2.112485e-03,  2.403750e-04
-2.862485e-03,  8.052875e-03
-2.549985e-03,  8.653750e-04
-3.112485e-03,  7.115375e-03
-2.674985e-03,  1.177875e-03
-3.362485e-03,  6.802875e-03
-2.987485e-03, -7.212500e-05
-3.612485e-03,  6.802875e-03
-3.299985e-03,  5.865375e-03
-3.737485e-03,  2.403750e-04
-3.424985e-03,  5.552875e-03
-3.924985e-03,  8.653750e-04
-3.549985e-03,  5.528750e-04
-4.049985e-03,  6.490375e-03
-3.674985e-03,  6.802875e-03
-4.237485e-03,  5.528750e-04
-3.862485e-03,  7.427875e-03
-4.299985e-03,  2.403750e-04
-3.862485e-03, -6.971250e-04
-4.424985e-03,  6.802875e-03
-3.987485e-03,  5.552875e-03
-4.487485e-03, -1.009625e-03
-4.112485e-03, -3.846250e-04
-4.487485e-03,  5.552875e-03
-4.487485e-03,  6.490375e-03
-4.112485e-03, -1.322125e-03
-4.049985e-03, -6.971250e-04
-4.487485e-03,  6.177875e-03
-4.049985e-03, -1.009625e-03
-4.612485e-03,  4.927875e-03
-4.549985e-03, -1.947125e-03
-3.987485e-03,  5.240375e-03
-4.424985e-03,  4.615375e-03
-3.924985e-03, -1.947125e-03
-4.299985e-03,  4.927875e-03
-3.799985e-03, -2.259625e-03
-4.174985e-03,  4.302875e-03
-3.674985e-03, -1.947125e-03
-4.049985e-03,  3.677875e-03
-3.424985e-03, -2.884625e-03
-3.487485e-03, -2.572125e-03
-3.862485e-03,  3.990375e-03
-3.174985e-03, -2.884625e-03
-3.737485e-03,  3.990375e-03
-3.424985e-03,  3.365375e-03
-2.987485e-03, -3.197125e-03
-3.362485e-03,  3.052875e-03
-2.799985e-03, -2.572125e-03
-3.362485e-03,  3.990375e-03
-2.487485e-03, -3.509625e-03
-3.049985e-03,  2.740375e-03
-2.362485e-03, -2.884625e-03
-2.612485e-03, -3.822125e-03
-1.987485e-03,  2.115375e-03
-2.424985e-03,  2.740375e-03
-1.862485e-03, -4.134625e-03
-2.049985e-03,  2.115375e-03
-1.549985e-03, -3.509625e-03
-1.799985e-03,  2.427875e-03
-1.299985e-03, -4.134625e-03
-1.612485e-03,  1.802875e-03
-9.874850e-04, -4.134625e-03
-1.299985e-03,  2.427875e-03
-7.999850e-04, -4.447125e-03
-1.049985e-03, -5.072125e-03
-3.624850e-04,  1.490375e-03
-6.749850e-04, -5.072125e-03
-1.749850e-04,  2.115375e-03
-3.624850e-04, -6.634625e-03
 2.625150e-04,  1.802875e-03
-1.749850e-04,  2.115375e-03
 5.125150e-04, -5.072125e-03
 7.501500e-05, -5.072125e-03
 7.625150e-04,  2.115375e-03
 4.500150e-04, -5.384625e-03
 1.012515e-03,  1.490375e-03
 7.625150e-04, -5.384625e-03
 1.262515e-03,  1.177875e-03
 1.012515e-03, -6.634625e-03
 1.575015e-03,  1.177875e-03
 1.387515e-03,  2.403750e-04
